#                                                                     
#  /$$     /$$ /$$$$$$  /$$      /$$ /$$$$$$$   /$$$$$$               
# |  $$   /$$//$$__  $$| $$$    /$$$| $$__  $$ /$$__  $$              
#  \  $$ /$$/| $$  \ $$| $$$$  /$$$$| $$  \ $$| $$  \ $$              
#   \  $$$$/ | $$$$$$$$| $$ $$/$$ $$| $$$$$$$ | $$  | $$              
#    \  $$/  | $$__  $$| $$  $$$| $$| $$__  $$| $$  | $$              
#     | $$   | $$  | $$| $$\  $ | $$| $$  \ $$| $$  | $$              
#     | $$   | $$  | $$| $$ \/  | $$| $$$$$$$/|  $$$$$$/              
#     |__/   |__/  |__/|__/     |__/|_______/  \______/               
#                                                                     
# Version 5.3.0 Revision 23927 Hash (prev commit) 1730222ea           
#                       Branch is                                     
#            MPI+OpenMP+SLK+HDF5_MPI_IO Build                         
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : PPA
# PPA imaginary Energy                            :   27.2113800    [ev]
# RIM G`s                                         :  101
# RIM random pts                                  :  1000000
# dS/dw steps                                     :  2
# dS/dw step                                      :  0.100000001    [ev]
# X G`s                                           :   433 [used]
# X G`s                                           :   433 [disk]
# X bands                                         :    1  200
# X poles                                         :   100.000000    [o/o]
# X e/h E range                                   :  -1.00000000     -1.00000000    [ev]
# X Hxc Kernel                                    : HARTREE
# X BZ energy Double Grid                         : no
# X Optical Averaged directions                   : none
# Sc/G bands                                      :    1  200
# Sc/G damping                                    :  0.100000001    [ev]
# Sc bands terminator                             : yes
# Sc terminator kind                              : BG
# Sc Terminator pole                              :   40.8170751   
# Sx RL components                                :   8003
#                                                 
# QP @ state[ 1 ] K range                         :    1   65
# QP @ state[ 1 ] b range                         :   29   49
# GF energies kind                                : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# Xs energies kind                                : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# Xs WF`s kind                                    : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
#    Eo [eV]            DeltaE [eV]
#
    -3.48206853        -1.06057883   
    -3.48171155        -1.06066567   
    -3.46805826        -1.08287568   
    -3.46205995        -1.03735328   
    -3.44012958        -1.05922180   
    -3.43029926        -1.04727402   
    -3.39901504        -1.03313353   
    -3.38073732        -1.05949662   
    -3.36475521        -1.05782355   
    -3.36419325        -1.05822655   
    -3.36060615        -1.04657338   
    -3.35834417        -1.05329213   
    -3.35829902        -1.04992542   
    -3.35470758        -1.07315340   
    -3.34788677        -1.07578902   
    -3.29507287        -1.04354650   
    -3.29471676        -1.04284052   
    -3.29120530        -1.03824149   
    -3.25755954        -1.05486481   
    -3.24831560        -1.05248746   
    -3.23323175        -1.06730720   
    -3.22876480        -1.04753135   
    -3.22792639        -1.02688698   
    -3.22709966        -1.06823369   
    -3.21889814        -1.06923636   
    -3.20827743        -1.04558631   
    -3.20481781        -1.07245780   
    -3.19402066        -1.08111224   
    -3.17505287        -1.08623288   
    -3.16891868        -1.08030359   
    -3.16335441        -1.05553527   
    -3.15392367        -1.09064704   
    -3.14901000        -1.03763419   
    -3.12479273        -1.10077925   
    -3.12433733        -1.06050038   
    -3.11853129        -1.04789822   
    -3.11834492        -1.04674084   
    -3.10888972        -1.08427112   
    -3.10304843        -1.06343721   
    -3.08680980        -1.05873319   
    -3.08630110        -1.04968855   
    -3.08584099        -1.05162542   
    -3.08183457        -1.10531309   
    -3.05634536        -1.05364917   
    -3.05403212        -1.11707520   
    -3.05053333        -1.08569811   
    -3.03824925        -1.11402064   
    -3.03447937        -1.10400567   
    -3.02977117        -1.03888807   
    -2.99409047        -1.05765034   
    -2.99212949        -1.03528674   
    -2.99111783        -1.09315909   
    -2.98190898        -1.04571510   
    -2.98106857        -1.04452396   
    -2.97816174        -1.08686506   
    -2.95526095        -1.02587028   
    -2.95303343        -1.07484032   
    -2.95260319        -1.05492292   
    -2.94746040        -1.09900859   
    -2.94541702        -1.08071636   
    -2.91330159        -1.08154087   
    -2.88285692        -1.04812427   
    -2.88154313        -1.03718778   
    -2.88120954        -1.03429575   
    -2.88100533        -1.05022819   
    -2.88054864        -1.03606262   
    -2.87100634        -1.05075538   
    -2.85977936        -1.05194724   
    -2.83888885        -1.07153455   
    -2.83155094        -1.06359237   
    -2.81377902        -1.04901201   
    -2.81013778        -1.08208069   
    -2.80602348        -1.04818737   
    -2.78517995        -1.07815482   
    -2.76856916        -1.04673462   
    -2.76789124        -1.04385248   
    -2.76637913        -1.04863131   
    -2.73568576        -1.06587059   
    -2.73401731        -1.07941042   
    -2.71536859        -1.07281720   
    -2.71160217        -1.05705062   
    -2.70643463        -1.02558753   
    -2.70597599        -1.02662913   
    -2.70194178        -1.05264239   
    -2.67624673        -1.05850642   
    -2.67119586        -1.06300991   
    -2.66721872        -1.06055337   
    -2.65697096        -1.05125358   
    -2.65094474        -1.02730654   
    -2.65036255        -1.02651701   
    -2.64256396        -1.05522936   
    -2.63619799        -1.04043469   
    -2.63509802        -1.07051348   
    -2.63409927        -1.03651054   
    -2.63254809        -1.07579309   
    -2.62383058        -1.06288356   
    -2.61879052        -1.06143106   
    -2.61521164        -1.06047364   
    -2.61465545        -1.06031479   
    -2.60643534        -1.07338346   
    -2.60619311        -1.05398980   
    -2.60528987        -1.05337093   
    -2.59014865        -1.05598638   
    -2.58562257        -1.06423401   
    -2.58163742        -1.02072164   
    -2.58022213        -1.02156165   
    -2.57733283        -1.06934538   
    -2.55634456        -1.06229090   
    -2.55082987        -1.07001545   
    -2.54826305        -1.06229539   
    -2.54759441        -1.05219459   
    -2.54679378        -1.05427015   
    -2.52992954        -1.06786954   
    -2.52856594        -1.06168506   
    -2.51145223        -1.08170355   
    -2.50687909        -1.06066447   
    -2.49627334        -1.05115279   
    -2.49588225        -1.08009361   
    -2.49571215        -1.07897201   
    -2.48488817        -1.06279937   
    -2.48245154        -1.05077970   
    -2.47329416        -1.04748772   
    -2.47203878        -1.04854817   
    -2.46995231        -1.05624454   
    -2.46911065        -1.05633703   
    -2.46803394        -1.03191120   
    -2.46758154        -1.03188184   
    -2.46688805        -1.03018797   
    -2.45666845        -1.06826836   
    -2.44518430        -1.06966991   
    -2.42815815        -1.05924937   
    -2.42612805        -1.08349627   
    -2.42568154        -1.06718095   
    -2.41402415        -1.08210413   
    -2.41305985        -1.06274745   
    -2.41103443        -1.06283583   
    -2.40344468        -1.05927292   
    -2.40120840        -1.06049245   
    -2.39986914        -1.08411438   
    -2.39736315        -1.07735647   
    -2.37804658        -1.04576304   
    -2.37742003        -1.04565268   
    -2.37488772        -1.07026410   
    -2.37145782        -1.04612769   
    -2.37084584        -1.04714867   
    -2.35941141        -1.08559222   
    -2.35772650        -1.09093157   
    -2.35752831        -1.08420233   
    -2.35616121        -1.05277498   
    -2.33288574        -1.08077672   
    -2.33162320        -1.08729166   
    -2.33137658        -1.08347697   
    -2.33077173        -1.08801874   
    -2.33029790        -1.08191921   
    -2.31402437        -1.07316068   
    -2.28859718        -1.08994011   
    -2.28683593        -1.07167846   
    -2.27531101        -1.06335876   
    -2.26442467        -1.04431257   
    -2.24449012        -1.07263240   
    -2.24335543        -1.06039994   
    -2.24300013        -1.07152906   
    -2.24241751        -1.06081170   
    -2.23936914        -1.04851432   
    -2.23446865        -1.01893764   
    -2.23311279        -1.07150961   
    -2.23260880        -1.02131822   
    -2.21429701        -1.01790162   
    -2.21324290        -1.01651329   
    -2.21179632        -1.01833612   
    -2.20144015        -1.06312413   
    -2.20137964        -1.06315580   
    -2.19787059        -1.05000692   
    -2.19426957        -1.07924703   
    -2.16454377        -1.06403353   
    -2.16373095        -1.06308286   
    -2.15790029        -1.06300961   
    -2.15370208        -1.02700760   
    -2.15154284        -1.07014905   
    -2.15137132        -1.02680090   
    -2.15133229        -1.06882988   
    -2.14910871        -1.07361930   
    -2.14771237        -1.07462770   
    -2.13545675        -1.07524776   
    -2.13503859        -1.07270276   
    -2.12748537        -1.06980446   
    -2.12649772        -1.07237890   
    -2.12527843        -1.07114360   
    -2.12368999        -1.07078233   
    -2.11903647        -1.06950633   
    -2.10609870        -1.06262479   
    -2.09358605        -1.05893602   
    -2.09305969        -1.08527792   
    -2.09301714        -1.06096991   
    -2.09213238        -1.08456047   
    -2.08604630        -1.07072317   
    -2.08395010        -1.05629757   
    -2.07752598        -1.07513831   
    -2.07719177        -1.05155955   
    -2.07417332        -1.06225537   
    -2.07143440        -1.06604172   
    -2.04404073        -1.05815140   
    -2.03885689        -1.08152451   
    -2.03861332        -1.08138840   
    -2.01965309        -1.04662151   
    -2.01927314        -1.04684527   
    -2.01670443        -1.04958773   
    -2.01368826        -1.03414483   
    -2.00587820        -1.07067669   
    -1.99095266        -1.05631650   
    -1.97644160        -1.07579682   
    -1.97546293        -1.07447730   
    -1.97320611        -1.07634693   
    -1.97271400        -1.09236828   
    -1.97244104        -1.07432991   
    -1.97036448        -1.07365691   
    -1.97021978        -1.09079843   
    -1.96745215        -1.06056337   
    -1.96727058        -1.06059073   
    -1.96034724        -1.06227264   
    -1.95911243        -1.06276827   
    -1.94248691        -1.08788576   
    -1.93410889        -1.06869098   
    -1.93359297        -1.06455375   
    -1.92998575        -1.06139429   
    -1.91091310        -1.04108598   
    -1.90822410        -1.04149122   
    -1.89824792        -1.04971494   
    -1.89303573        -1.07381922   
    -1.89245903        -1.06933297   
    -1.89074699        -1.07046358   
    -1.89014857        -1.06024285   
    -1.88901368        -1.06451515   
    -1.87878960        -1.03254563   
    -1.87329620        -1.05683861   
    -1.86505990        -1.05660389   
    -1.84323704        -1.03120634   
    -1.84237854        -1.03212538   
    -1.84050687        -1.03135398   
    -1.79757076        -1.05804216   
    -1.79516083        -1.05720144   
    -1.79477153        -1.06560356   
    -1.79326419        -1.03704007   
    -1.79172932        -1.03863406   
    -1.78856901        -1.04873519   
    -1.78433233        -1.05109239   
    -1.78429399        -1.05096505   
    -1.77631066        -1.06788286   
    -1.77314056        -1.06621077   
    -1.74113153        -1.09468274   
    -1.74081410        -1.09170801   
    -1.73748346        -1.04649775   
    -1.70024886        -1.04215513   
    -1.69879394        -1.08039864   
    -1.69830969        -1.08028526   
    -1.69686345        -1.05779362   
    -1.69581126        -1.05594891   
    -1.68828956        -1.05300394   
    -1.68797607        -1.06512428   
    -1.68730227        -1.05461338   
    -1.64676269        -1.05378649   
    -1.64433002        -1.05441264   
    -1.64296303        -1.07294620   
    -1.64113183        -1.07247441   
    -1.63093538        -1.06386446   
    -1.62956877        -1.06475659   
    -1.62821409        -1.06400110   
    -1.62168449        -1.05664028   
    -1.62090554        -1.06038220   
    -1.62042645        -1.05713084   
    -1.61676868        -1.06848391   
    -1.60936643        -1.06791720   
    -1.60826318        -1.06771546   
    -1.60194842        -1.07097752   
    -1.58792565        -1.07050326   
    -1.58669656        -1.07185335   
    -1.58584606        -1.09790020   
    -1.58479966        -1.10100902   
    -1.58285296        -1.06186864   
    -1.58154154        -1.06222667   
    -1.56498878        -1.06378445   
    -1.56337333        -1.06308583   
    -1.55176544        -1.02932994   
    -1.55026186        -1.02907408   
    -1.54853211        -1.04763590   
    -1.54461693        -1.07677031   
    -1.54351546        -1.07693352   
    -1.54191589        -1.07700710   
    -1.52070241        -1.10912625   
    -1.51847355        -1.11061157   
    -1.51431524        -1.03685166   
    -1.51411952        -1.03666836   
    -1.50442192        -1.06856568   
    -1.50239866        -1.06738735   
    -1.50090324        -1.04197710   
    -1.49889249        -1.04208300   
    -1.49816390        -1.04152059   
    -1.48459346        -1.08955155   
    -1.48321036        -1.09079328   
    -1.46144426        -1.06341934   
    -1.46001154        -1.06129504   
    -1.45509229        -1.04713305   
    -1.45409274        -1.04670184   
    -1.38907384        -1.07506189   
    -1.38708579        -1.07262931   
    -1.31997145        -1.08865568   
    -1.31801522        -1.08595235   
    -1.31211170       -0.970933861   
    -1.31060184       -0.988077204   
    -1.30642233        -1.00166801   
    -1.30362786        -1.08613586   
    -1.30180074       -0.987505135   
    -1.29939315       -0.980497681   
    -1.29930053        -1.08340514   
    -1.29670195        -1.05298426   
    -1.29374501        -1.05362758   
    -1.29111974       -0.976399136   
    -1.29002931       -0.993877882   
    -1.28998757       -0.996698562   
    -1.28994375       -0.992399867   
    -1.28638336       -0.999010044   
    -1.28048375       -0.993763032   
    -1.27918387       -0.996007744   
    -1.27910647        -1.00120386   
    -1.27785511       -0.995712648   
    -1.27753148       -0.982354030   
    -1.27649592       -0.999854526   
    -1.27566666        -1.00900315   
    -1.27517187        -1.03104733   
    -1.27399781       -0.996954578   
    -1.27345790       -0.997892992   
    -1.27320243       -0.996556550   
    -1.27274520        -1.03250591   
    -1.27242352        -1.03199355   
    -1.27181460       -0.998391466   
    -1.26702278       -0.982369274   
    -1.26242975        -1.00648614   
    -1.23206635       -0.971129395   
    -1.20219199       -0.969923621   
    -1.18587155       -0.954934062   
    -1.18127768       -0.975773797   
    -1.17653299       -0.928733055   
    -1.11177319       -0.975520119   
    -1.07915637        -1.02159457   
    -1.07795075        -1.02208682   
    -1.07782542        -1.01003567   
    -1.06218017       -0.984203780   
    -1.05008172        -1.01507482   
    -1.04997058        -1.01495219   
    -1.04975085       -0.987028639   
    -1.02418848       -0.994317080   
    -1.02073379        -1.01036059   
    -1.01615143        -1.01777899   
    -1.01590655       -0.988849882   
   -0.997767309        -1.00134530   
   -0.997720331        -1.00085563   
   -0.993121495       -0.993302490   
   -0.993089236       -0.992264180   
   -0.992877704        -1.00943168   
   -0.992510110       -0.993098852   
   -0.984065339       -0.951013907   
   -0.983787616       -0.950961856   
   -0.971545061       -0.998766223   
   -0.968857817        -1.00892109   
   -0.964062247        -1.00721739   
   -0.962937479        -1.00723798   
   -0.958876226       -0.988871310   
   -0.952668336       -0.998827406   
   -0.944723117       -0.977109290   
   -0.944294500       -0.977299889   
   -0.937187024       -0.991051681   
   -0.937098875        -1.00405753   
   -0.926373942        -1.00053652   
   -0.919070090       -0.992091394   
   -0.910687055       -0.992291576   
   -0.907989623       -0.998111327   
   -0.907560190       -0.991897024   
   -0.906034258        -1.00796002   
   -0.889857713        -1.00780456   
   -0.886492371       -0.919451690   
   -0.886218285       -0.919615823   
   -0.886134239       -0.993102475   
   -0.872429035       -0.991938195   
   -0.861804662       -0.986200099   
   -0.859724166        -1.00369806   
   -0.854406711        -1.00397615   
   -0.849142859       -0.992175556   
   -0.847252454       -0.994670571   
   -0.843189904        -1.00411056   
   -0.827872931        -1.00243914   
   -0.826107414       -0.992582708   
   -0.807823865       -0.983665644   
   -0.807018919       -0.983506401   
   -0.797276910       -0.996735722   
   -0.785665939       -0.923782861   
   -0.779254911       -0.990434738   
   -0.768449312       -0.921845147   
   -0.767529974       -0.992162722   
   -0.758442264       -0.984871474   
   -0.758359743       -0.984691907   
   -0.757824390       -0.984543386   
   -0.755338436       -0.995402205   
   -0.755212916       -0.995493434   
   -0.754665906       -0.995224579   
   -0.741073761       -0.999119225   
   -0.737970966       -0.972854985   
   -0.737107886       -0.972664390   
   -0.724751462       -0.981204422   
   -0.724081539       -0.981490225   
   -0.711879011       -0.961949490   
   -0.707828765       -0.929157139   
   -0.705622511       -0.919929414   
   -0.704458377       -0.978447691   
   -0.702800873       -0.977981527   
   -0.691862148       -0.982748557   
   -0.691486478       -0.982758439   
   -0.685396634        -1.00166948   
   -0.683200188       -0.983745422   
   -0.682182616       -0.983442641   
   -0.667860579       -0.927955563   
   -0.663071149       -0.967099482   
   -0.641664613       -0.994522650   
   -0.640840473       -0.994305541   
   -0.639770269        -1.00408840   
   -0.638939281        -1.00401208   
   -0.612732931        -1.00206825   
   -0.612671170        -1.00448532   
   -0.612020135        -1.00180087   
   -0.611733934        -1.00459574   
   -0.609071399       -0.972552389   
   -0.584136366       -0.923751343   
   -0.575882335       -0.930360948   
   -0.552023136       -0.942991727   
   -0.544427950       -0.911102338   
   -0.544368835       -0.911074570   
   -0.540996071       -0.943587561   
   -0.540588378       -0.943440893   
   -0.532279986       -0.942784184   
   -0.531561408        -1.00614927   
   -0.531206210        -1.00641615   
   -0.495595556        -1.00272908   
   -0.495003763        -1.00293388   
   -0.479847221       -0.948689652   
   -0.479376337       -0.948511264   
   -0.469536230       -0.944257343   
   -0.436332588       -0.937342653   
   -0.418351838       -0.956223854   
   -0.415396743       -0.933182092   
   -0.409300114       -0.961225237   
   -0.408740331       -0.961037552   
   -0.405188653       -0.960902876   
   -0.402331978       -0.854555418   
   -0.385922154       -0.963834993   
   -0.379144270       -0.958489430   
   -0.366730010       -0.949836051   
   -0.363869395       -0.973920215   
   -0.340651775       -0.970569908   
   -0.339834172       -0.969343463   
   -0.309597882       -0.963678861   
   -0.301760919       -0.976957828   
   -0.298265776       -0.976702555   
   -0.293248702       -0.920050180   
   -0.293083931        -1.00855517   
   -0.292806909        -1.00848645   
   -0.292495713        -1.00898093   
   -0.291482250       -0.920391173   
   -0.291344588       -0.920028797   
